Post Name,Legality,Category,Our Category,Seller,Description,Shipping From
7.0g NN-DMT (extracted from Mimosa Hostilis root bark),Illegal,DMT,Hard Drugs,DomesticGoddess,Hard drugs are always illegal.,GB
7g Bubblegum 42 (pounds),Illegal,Buds & Flowers,Soft Drugs,El-Chapo,,GB
AAA+++ OG COOKIES TOP IMPORT H.Q - (60G-112G) - NDD UK,Illegal,Cannabis,Soft Drugs,El-Chapo,high volume that is not allowed in NL,GB
10G AAA+++ cannalope Haze TOP IMPORTANT - NDD UK,Illegal,cannabis,Soft Drugs,El-Chapo,,GB
1g 92% Columbian Cocaine Uncut H.Q,Illegal,Cocaine,Hard Drugs,EveryLittleHelps,,GB
0.5gr of G13 Haze - Import - THC 20% / High Quality,Depends ,Buds & Flowers,Soft Drugs,FENDI1,Under 5g its legal for possesion and this is 0.5gr which is ,GB
7gr of Shake / Dust / Tiny Buds - High Quality,Illegal,Shake,Soft Drugs,FENDI1,Selling more than 5g is illegal,GB
2g - Bubblegum Haze - UK2UK,Depends,Buds & Flowers,Soft Drugs,FunkyMonkey,"depends 2 grams in possesion is allowed, but selling is not allowed",GB
2g - UK Runtz - UK2UK,Depends ,Buds & Flowers,Soft Drugs,FunkyMonkey,"up until 5g is allowed for possesion, however selling without being a coffeeshop is illegal, but it is under 30g",GB
1g - Social Peruvian Cocaine 80% UK Only,Illegal,Cocaine,Hard Drugs,FunkyMonkey,,GB
3.5G AMNESIA HAZE A+++NDD-FREE POSTAGE,Depends,Buds & Flowers,Soft Drugs,Gingercrew,"depends 3.5 grams in possesion is allowed, but selling is not allowed",GB
"2 pc Darth Vader head (200mg THC/pc), A+",Depends,Edibles,Soft Drugs,GreenBritain,,GB
Metaformin 500 mg x 84 Tablets Genuine UK,Depends,Prescription,Prescription Medication,imyourdoctor,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",GB
28g Super Lemon Haze 235.2 £,Illegal,Buds & Flowers,Soft Drugs,maurelius,,GB
3.5 G BANANA OG TOP SHELF CANNABIS UK!!!,Depends ,cannabis,Soft Drugs,mediPharms,,GB
1g of Grape Goddess AAA+++ Coffeeshop Grade,Depends,Buds & Flowers,Soft Drugs,OzzyCo,"depends 1 gram in possesion is allowed, but selling is not allowed",GB
Temazepam 10 mg Restoril tablets,Illegal,pills,Medication,SindabadXpress,Temazepam can only be used legally by health professionals and for university research purposes. ,GB
"2 X RUNTZ OG, 1g VAPE CARTS",Depends,Concentrates,Soft Drugs,THETHCDOCTOR1,its cannabis formula for a vape. The rules on that one are not very clear,GB
"5 x 1ml of DELTA 9, THC In Syringe, Premixed With Terpenes ",Depends,Concentrates,Soft Drugs,THETHCDOCTOR1,its cannabis formula for a vape. The rules on that one are not very clear,GB
"0.5 oz (14g) DELTA 9 THC Distillate, In Preloaded Syringe ",Depends,Concentrates,Soft Drugs,THETHCDOCTOR1,its cannabis formula for a vape. The rules on that one are not very clear,GB
Rechargable Vape battery,Legal,Concentrates,Other,THETHCDOCTOR1,"Vapes are legal, and the usage of batteries for vapes are as well.",GB
